x,y
22.372,3.374
20.380,3.200
18.391,2.992
16.393,2.951
14.393,2.983
12.395,3.073
10.396,3.107
8.396,3.090
6.397,3.132
4.404,3.296
2.454,2.958
0.454,2.963
-1.544,3.039
-3.540,3.162
-5.540,3.192
-7.539,3.230
-9.535,3.353
-11.533,3.445
-13.532,3.433
-15.532,3.393
-17.532,3.393
-19.530,3.469
-21.526,3.590
-23.524,3.689
-25.524,3.695
-27.523,3.657
-29.523,3.656
-31.520,3.756
-33.519,3.824
-35.518,3.806
-37.515,3.697
-39.513,3.604
-41.509,3.489
-43.500,3.293
-45.485,3.047
-47.465,2.773
-49.430,2.400
-51.351,1.853
-53.134,0.957
-54.644,-0.341
-55.827,-1.947
-56.564,-3.799
-56.961,-5.757
-57.229,-7.738
-57.505,-9.719
-57.764,-11.702
-57.951,-13.694
